ttwa_name,avHousePrice,numberOfSales
Andover,192357.501520827,31233
Ashford,182603.615839558,48865
Banbury,186534.111207079,56732
Barnsley,93685.1422711521,84838
Barnstaple,158260.985440472,37982
Barrow-in-Furness,91951.9660886217,37598
Basingstoke,188080.556849843,67476
Bath,204364.893640618,82052
Bedford,164393.572077797,83396
Berwick,130721.836648287,10156
Bideford,153010.880724672,25722
Birmingham,134919.829412938,536383
Bishop Auckland & Barnard Cast,88510.4822697122,67991
Blackburn,90297.7399750446,122619
Blackpool,105629.113810071,127827
Bolton,97246.6817815171,97939
Boston,103382.159906645,28279
Bournemouth,187883.210694853,182686
Bradford,94568.0154129125,187570
Brecon,262840.896805897,407
Bridgwater,134838.998503978,44117
Bridlington & Driffield,106567.272269931,31208
Bridport & Lyme Regis,200099.418453427,17070
Brighton,192885.918559424,205168
Bristol,161295.107322238,401380
Bude & Holsworthy,175332.67086228,12235
"Burnley, Nelson & Colne",73134.7801466344,81427
Burton upon Trent,122202.565637685,71689
Bury St Edmunds,178513.796026524,39059
Buxton,144875.317548583,17084
Calderdale,104921.326442596,81849
Cambridge,201492.748343326,171126
Canterbury,175610.94435655,77745
Carlisle,106294.595484902,48814
Chelmsford & Braintree,180649.11148368,162535
Cheltenham & Evesham,191892.46030447,113640
Chester & Flint,157353.804120354,46064
Chesterfield,105857.682895612,60160
Chichester & Bognor Regis,196117.091110031,104961
Clacton,125955.641580965,47743
Colchester,155189.744387291,103426
Coventry,118166.997196934,198711
Craven,153563.362325026,23432
Crawley,238381.215631516,235972
Crewe & Northwich,137388.435696766,115383
Cromer & Sheringham,155332.591751058,31204
Darlington,105649.96849049,46843
Derby,122311.173351905,156514
Doncaster,94077.7489275096,100234
Dorchester & Weymouth,166905.725144731,55793
Dover,140702.980988288,37398
Dudley & Sandwell,111186.99219698,141740
Eastbourne,166837.383715639,96694
Exeter & Newton Abbot,167992.438494799,149402
Falmouth & Helston,171394.877573391,29193
Folkestone,152666.317639146,47576
Gloucester,139704.405431462,79868
Grantham,133749.002173365,31748
Great Yarmouth,111808.781957531,42666
Grimsby,90135.4742253752,79361
Guildford & Aldershot,254145.649242452,325524
Harlow & Bishop's Stortford,215090.064672146,145766
Harrogate & Ripon,195526.976072646,63651
Hartlepool,87552.0088977032,37313
Hastings,149540.19682208,90940
Hawes & Leyburn,181515.522582433,3609
Hereford & Leominster,156226.467995367,57851
Hexham & Haltwhistle,164009.129077714,14193
Honiton & Axminster,194992.450933173,29898
Huddersfield,116091.235416225,89603
Hull,100091.389726107,188322
Huntingdon,152640.502713395,78868
Ipswich,155417.057742537,171139
Isle of Wight,146544.141273689,70551
Kendal,175092.764085902,37857
Kettering & Corby,118813.26964666,73244
Kidderminster,139072.187488525,38125
King's Lynn & Fakenham,139170.754268955,70919
Kingsbridge & Dartmouth,246844.823941898,15972
Lancaster & Morecambe,110684.524137336,57960
Launceston,159715.60153593,9115
Leeds,127128.573907294,340325
Leicester,131217.190971242,308193
Lincoln,117105.672004845,148615
Liverpool,106717.738118707,292182
London,283068.036031913,3329826
Louth & Horncastle,122595.767249527,25392
Lowestoft & Beccles,131249.401305876,59730
Ludlow,171630.318038927,14951
Luton & Watford,206713.217682091,296198
Maidstone & North Kent,159650.938288697,245579
Malton & Pickering,163850.756751975,16958
Manchester,131416.933235477,698305
Mansfield,96922.8806139267,106788
"Margate, Ramsgate & Sandwich",137441.768547576,65642
Matlock,182699.66417028,22833
Middlesbrough & Stockton,102493.29302927,167816
Milton Keynes & Aylesbury,167922.175857508,213963
Minehead,164671.561002179,13770
Monmouth & Cinderford,145000.01007111,29391
"Morpeth, Ashington & Alnwick",110330.230664684,62541
Newbury,239576.479085427,52571
Newcastle & Durham,111725.162471687,392930
Newport & Cwmbran,180284.980540541,1850
Northallerton & Thirsk,162454.84786355,22631
Northampton & Wellingborough,135521.775719035,216853
Norwich,146258.99873389,180869
Nottingham,119038.840590583,291915
Okehampton,173728.777488744,9995
Oswestry,131761.998274807,17969
Oxford,226231.550384941,192627
Paignton & Totnes,155432.589400285,44888
Penrith & Appleby,148347.642260721,17605
Penzance & Isles of Scilly,164309.673154362,28310
Peterborough,139044.640325826,144617
Plymouth,131887.879793739,151265
Poole,205255.517622942,95614
Portsmouth,167619.327593576,259709
Preston,120101.238709477,160865
Reading & Bracknell,240790.16910214,239447
Richmond & Catterick,140769.212626041,11405
Rochdale & Oldham,90857.9731436582,139818
Rugby,145588.233634255,39656
Salisbury,205887.30764761,53350
Scarborough,110928.489937139,39452
Scunthorpe,98235.8342728298,50559
Shaftesbury & Blandford Forum,189804.551289618,33886
Sheffield & Rotherham,112046.025590031,260961
Shrewsbury,150957.363897305,50168
Skegness,102523.397106825,26960
South Holland,117448.039846173,40305
Southampton,188193.465115217,284637
Southend & Brentwood,172355.423437054,255783
St Austell,148565.11345473,66943
Stafford,138712.662028924,47365
Stevenage,187882.609827268,149075
Stoke-on-Trent,99264.3313590122,183523
Sunderland,90962.2589507565,113091
Swindon,169509.941630111,220439
Taunton,162704.079966442,52447
Telford & Bridgnorth,124367.709349545,84218
Thetford & Mildenhall,131692.250779102,49095
Tiverton,157155.158881594,21173
Torquay,140385.062125748,37408
Trowbridge & Warminster,159176.27719072,75991
"Truro, Redruth & Camborne",161535.435766322,50651
Tunbridge Wells,267911.076425832,114477
Wadebridge,213946.386867027,12777
Wakefield & Castleford,106663.640404851,112140
Walsall & Cannock,122162.450578898,117551
Warrington & Wigan,112053.124089647,266243
Warwick & Stratford-upon-Avon,201289.120560659,105590
Wells & Shepton Mallet,173561.863016856,34705
Whitby,146263.686807479,11552
Whitehaven,94297.7838298244,22894
Wirral & Ellesmere Port,117760.740754774,139883
Wisbech,112947.418661756,34209
Wolverhampton,111482.770764951,103889
Worcester & Malvern,159631.011885223,108454
Workington & Keswick,116547.677096199,29148
Worksop & Retford,107120.664021731,41967
Worthing,175792.980406798,105802
Wrexham & Whitchurch,157804.94212402,7015
Wycombe & Slough,267039.953612371,219994
Yeovil & Chard,160295.274674591,74368
York,154950.468722949,131694
