n,lowest2015,highest2015,lowest2019,highest2019,lowestdiff,highestdiff,decile1prop2015,decile1prop2019,decile10prop2015,decile10prop2019,decile1propdiff,decile10propdiff,mean2019,median2019,mean2015,median2015,meandiff,mediandiff
Hammersmith and Fulham,1936,28275,2091,28809,155,534,7.0796,0.885,-999999,-999999,-6.1946902654867255,0,14201.584046791091,13706,13009.229112315204,12754,1192.3549344758867,952
Brentwood,9687,32726,11814,32579,2127,-147,-999999,-999999,34.7826,34.7826,0,0,24786.95921626114,26638,24716.534369089437,26013,70.42484717170373,625
Gedling,1943,32710,1427,32349,-516,-361,1.2987,1.2987,10.3896,14.2857,0,3.8961,20406.20417247852,21301,19857.437475888193,20990,548.7666965903263,311
Torbay,219,29268,198,30108,-21,840,15.7303,15.7303,-999999,1.1236,0,1.1236,11756.180385825654,10261,11575.949175615247,10045,180.23121021040606,216
Woking,6542,32508,5986,32569,-556,61,-999999,-999999,37.7049,26.2295,0,-11.4754,24250.272540009508,26531,24956.167584048624,26836,-705.8950440391163,-305
Mansfield,16,29794,36,30448,20,654,8.9552,14.9254,1.4925,2.9851,5.970149253731343,1.4925,12120.371914216146,8790,12377.555104690797,9796,-257.1831904746505,-1006
Calderdale,252,31556,212,32486,-40,930,14.8438,15.625,3.9062,3.125,0.78125,-0.7812,13139.116382462758,12751,14245.403335720166,14483,-1106.2869532574077,-1732
West Lindsey,149,32189,24,31462,-125,-727,7.6923,7.6923,7.6923,5.7692,0,-1.9231,17120.027679166935,17364,17430.22021833043,17522,-310.1925391634941,-158
Bromsgrove,6499,32422,5909,32627,-590,205,-999999,-999999,29.3103,31.0345,0,1.7241,23442.705231324948,25017,23709.683715417552,24560,-266.97848409260405,457
Bassetlaw,384,28527,1220,28759,836,232,8.5714,7.1429,-999999,-999999,-1.4285714285714288,0,14967.315717287522,15204,15159.204885610434,16406,-191.88916832291216,-1202
Ryedale,10000,30551,10138,30537,138,-14,-999999,-999999,3.3333,3.3333,0,0,18863.28920723018,16504,18790.8733445933,17235,72.41586263688077,-731
Hastings,89,25585,147,23407,58,-2178,30.1887,30.1887,-999999,-999999,0,0,8999.634401818637,8378,9738.520349770324,8993,-738.8859479516868,-615
Chiltern,9588,32823,11359,32844,1771,21,-999999,-999999,54.386,52.6316,0,-1.7544,27852.868891424227,29873,27940.626449641757,30750,-87.75755821753046,-877
Hyndburn,474,28302,241,29136,-233,834,25,26.9231,-999999,-999999,1.9230769230769234,0,9547.477750177874,7361,10497.910599825414,8175,-950.4328496475409,-814
Fareham,7579,32774,7889,32704,310,-70,-999999,-999999,42.4658,34.2466,0,-8.2192,26067.156717195394,28052,26435.870800163117,28602,-368.7140829677228,-550
Wokingham,10474,32844,11194,32839,720,-5,-999999,-999999,65.6566,66.6667,0,1.0101,29193.45968362283,30960,29196.976516471663,31056,-3.516832848832564,-96
Teignbridge,5053,32589,5394,31421,341,-1168,-999999,-999999,7.1429,7.1429,0,0,19158.16852977861,19093,18464.043527198468,18699,694.1250025801419,394
Chorley,2280,32191,2451,32482,171,291,6.0606,4.5455,10.6061,10.6061,-1.5151515151515147,0,19411.294494307247,22058,18911.241706603018,21748,500.05278770422956,310
South Somerset,2659,32539,2923,32046,264,-493,1.9417,0.9709,5.8252,4.8544,-0.9708737864077669,-0.9709,17846.696888405535,17282,18515.446758520844,18821,-668.749870115309,-1539
Derbyshire Dales,2979,31052,3225,31734,246,682,2.3256,2.3256,4.6512,13.9535,0,9.3023,23033.515852299184,24271,22377.337604000397,23278,656.1782482987874,993
Canterbury,3751,30558,2768,32146,-983,1588,-999999,2.2222,5.5556,8.8889,2.2222222222222223,3.3333,19091.74074143665,20052,18753.723613823553,19325,338.0171276130968,727
St Edmundsbury,6406,32282,6558,32262,152,-20,-999999,-999999,6.0606,9.0909,0,3.0303,19448.766020651026,18782,19376.109115596995,18345,72.65690505403109,437
Oadby and Wigston,6661,31902,6709,31582,48,-320,-999999,-999999,13.8889,11.1111,0,-2.7778,22442.626018148043,24726,22081.502522146766,25018,361.1234960012771,-292
North Norfolk,3860,26296,3533,27301,-327,1005,-999999,-999999,-999999,-999999,0,0,14163.351194997955,13798,13859.318478818745,13720,304.0327161792102,78
Boston,1094,25879,2270,27702,1176,1823,2.7778,2.7778,-999999,-999999,0,0,13588.696769445654,10991,12899.660797739376,10683,689.0359717062784,308
Luton,871,28788,1349,29531,478,743,7.438,3.3058,-999999,-999999,-4.132231404958677,0,11980.963095968275,10798,11384.711357685226,9925,596.2517382830483,873
Lincoln,207,30074,309,28958,102,-1116,17.5439,17.5439,1.7544,-999999,0,-1.7544,12829.090549423163,11380,11570.220164499868,9941,1258.8703849232952,1439
Cambridge,5578,32287,4183,32545,-1395,258,-999999,-999999,13.0435,11.5942,0,-1.4493,20262.696830662244,20186,21102.49872558028,21625,-839.8018949180369,-1439
North West Leicestershire,1851,31343,2174,31818,323,475,3.4483,3.4483,8.6207,8.6207,0,0,20700.010834414716,21997,20353.0626263056,20671,346.9482081091155,1326
Lancaster,80,31003,33,31260,-47,257,11.236,14.6067,3.3708,5.618,3.370786516853933,2.2472,15136.6644928156,16017,15602.439829973002,16788,-465.77533715740174,-771
County Durham,190,32457,150,32594,-40,137,11.1111,12.037,4.0123,3.7037,0.9259259259259256,-0.3086,12638.102428036882,10438,13239.284386363282,11421,-601.1819583264005,-983
Stevenage,4216,32010,3929,30444,-287,-1566,-999999,-999999,5.7692,1.9231,0,-3.8462,15490.285173078923,15436,16439.961532111607,16054,-949.6763590326846,-618
Herefordshire  County of,2484,31838,2871,31845,387,7,0.8621,0.8621,2.5862,3.4483,0,0.8621,16460.237171258526,15453,15609.999513334631,14492,850.2376579238953,961
Basildon,515,32638,1353,32498,838,-140,10.9091,10.9091,13.6364,13.6364,0,0,15100.397134393326,12571,15140.808578034157,11291,-40.41144364083084,1280
North Warwickshire,3225,30222,1888,28227,-1337,-1995,2.6316,2.6316,2.6316,-999999,0,-2.6316,17470.114809208953,17883,18487.45655948553,19112,-1017.3417502765769,-1229
Hambleton,8014,32485,8652,32792,638,307,-999999,-999999,13.4615,21.1538,0,7.6923,22742.547549792394,22447,21825.740119934337,23175,916.8074298580577,-728
Rutland,14381,31269,14267,32120,-114,851,-999999,-999999,13.0435,39.1304,0,26.087,26538.198564086262,28296,24887.877909870058,25768,1650.3206542162043,2528
Thurrock,1716,29137,1553,29837,-163,700,4.0816,4.0816,-999999,1.0204,0,1.0204,15469.309395326427,13570,15012.580080610282,12878,456.7293147161454,692
New Forest,3243,32563,3743,32564,500,1,0.8772,-999999,20.1754,20.1754,-0.8771929824561403,0,22062.709909357134,23908,22372.28638757033,22819,-309.5764782131955,1089
Uttlesford,13775,32783,15984,32811,2209,28,-999999,-999999,15.2174,17.3913,0,2.1739,25458.539592746904,25834,24748.754436923078,25089,709.7851558238253,745
Braintree,4783,31722,5570,32004,787,282,-999999,-999999,8.046,9.1954,0,1.1494,20128.853278416263,19672,19392.18517495148,18163,736.6681034647845,1509
Sunderland,166,30357,167,31678,1,1321,19.4595,22.7027,1.0811,0.5405,3.2432432432432456,-0.5405,10851.074599097587,8648,11316.729530758714,9510,-465.6549316611272,-862
Gloucester,360,31598,621,31496,261,-102,12.8205,11.5385,12.8205,6.4103,-1.282051282051281,-6.4103,16537.92182843303,17806,16578.409325752476,16903,-40.48749731944554,903
South Bucks,14017,32624,13707,32641,-310,17,-999999,-999999,30,30,0,0,25201.46735538979,25372,25160.93031808408,26564,40.53703730570851,-1192
King s Lynn and West Norfolk,962,31180,1137,30752,175,-428,7.8652,7.8652,1.1236,2.2472,0,1.1236,13351.54101850444,13211,13681.004777027209,13102,-329.46375852276833,109
Shropshire,1779,32336,1622,32709,-157,373,0.5181,1.0363,5.6995,5.1813,0.5181347150259068,-0.5181,17982.803541453362,17031,18219.14840936521,17824,-236.34486791184827,-793
Worthing,3467,31147,3779,31735,312,588,-999999,-999999,13.8462,12.3077,0,-1.5385,18562.53080708752,17893,18120.379146515745,17533,442.15166057177703,360
Rochdale,33,28900,31,27564,-2,-1336,28.3582,29.8507,-999999,-999999,1.492537313432834,0,9430.785376344085,7068,10065.830843537478,7613,-635.045467193393,-545
Wychavon,3269,32173,3603,31934,334,-239,1.2821,-999999,10.2564,10.2564,-1.282051282051282,0,19344.57649477047,19478,18997.047383569483,18273,347.52911120098724,1205
Weymouth and Portland,1564,31545,1142,30118,-422,-1427,10.5263,15.7895,5.2632,5.2632,5.2631578947368425,0,13522.701892501003,11540,14452.627003217644,12361,-929.9251107166401,-821
Wandsworth,3115,31765,4700,31858,1585,93,0.5587,-999999,2.7933,5.0279,-0.5586592178770949,2.2346,18532.82183127527,18676,17070.28327465475,16697,1462.5385566205186,1979
Doncaster,118,31774,55,31979,-63,205,20.6186,23.7113,1.0309,1.5464,3.092783505154639,0.5155,11231.718727509227,8886,11777.247820527336,9920,-545.529093018109,-1034
Richmondshire,5380,31570,7731,31762,2351,192,-999999,-999999,2.9412,2.9412,0,0,22483.271226101017,23777,20997.621989431722,20883,1485.6492366692946,2894
Craven,5801,32366,5522,31776,-279,-590,-999999,-999999,12.5,12.5,0,0,21995.540232149895,21783,22117.700903402638,22901,-122.16067125274276,-1118
Central Bedfordshire,3668,32765,4420,32643,752,-122,-999999,-999999,24.8408,20.3822,0,-4.4586,23021.96995826313,25006,22936.236862856724,25206,85.73309540640548,-200
Chesterfield,291,32673,499,32639,208,-34,8.6957,8.6957,4.3478,5.7971,0,1.4493,13684.31899332778,12235,13469.36876336937,11602,214.950229958411,633
East Lindsey,541,26874,261,27143,-280,269,14.8148,16.0494,-999999,-999999,1.2345679012345698,0,10666.048360228293,9610,10971.127522035784,10880,-305.0791618074909,-1270
West Dorset,6420,32694,6009,32444,-411,-250,-999999,-999999,3.4483,3.4483,0,0,18891.495305978806,18898,20010.04874515918,20766,-1118.553439180374,-1868
East Hampshire,9517,32744,8576,32749,-941,5,-999999,-999999,31.9444,20.8333,0,-11.1111,24608.424402244425,26333,26125.800687285224,27269,-1517.3762850407984,-936
Dacorum,6009,32839,5254,32830,-755,-9,-999999,-999999,26.5957,25.5319,0,-1.0638,22009.849589948237,22194,22578.27802543191,22482,-568.4284354836745,-288
