height,weight,male,earn,earnk,education,walk,exercise,angry,age,earnsabove16k,angry_or_not
74,210,1,50000,50,16,3,3,0,45,1,0
66,125,0,60000,60,16,6,5,0,58,1,0
64,126,0,30000,30,16,8,1,1,29,1,1
65,200,0,25000,25,17,8,1,0,57,1,0
63,110,0,50000,50,16,5,6,0,91,1,0
68,165,0,62000,62,18,1,1,2,54,1,1
63,190,0,51000,51,17,3,1,4,39,1,1
64,125,0,9000,9,15,7,4,4,26,0,1
62,200,0,29000,29,12,2,2,0,49,1,0
73,230,1,32000,32,17,7,1,0,46,1,0
72,176,1,2000,2,15,8,1,0,21,0,0
72,160,1,27000,27,12,1,2,1,26,1,1
70,225,1,6530,6.53,16,4,1,0,65,0,0
63,107,0,0,0,14,7,4,2,50,0,1
68,170,1,30000,30,11,7,4,0,34,1,0
68,144,1,12000,12,12,6,5,2,27,0,1
71,193,1,15000,15,18,4,6,0,51,0,0
65,250,0,12000,12,12,5,1,1,51,0,1
66,130,0,20000,20,11,8,1,0,45,1,0
60,100,0,0,0,12,4,2,7,27,0,1
65,123,0,25000,25,12,1,4,0,41,1,0
66,130,0,22000,22,16,5,1,1,35,1,1
65,120,0,25000,25,16,5,4,1,29,1,1
71,160,1,20000,20,14,7,4,0,22,1,0
68,172,1,17000,17,12,8,1,0,58,1,0
68,135,0,40000,40,14,8,7,1,29,1,1
70,180,1,44000,44,13,8,2,4,44,1,1
67,112,0,0,0,9,1,1,0,21,0,0
64,240,0,7000,7,12,8,1,4,55,0,1
73,190,1,53000,53,13,6,7,2,35,1,1
64,145,0,5000,5,12,3,1,7,23,0,1
62,120,0,5000,5,13,2,1,0,51,0,0
63,114,0,14000,14,14,5,3,0,21,0,0
69,170,1,45000,45,14,8,7,1,36,1,1
67,166,1,5500,5.5,14,6,7,0,22,0,0
66,124,0,40000,40,12,4,4,0,41,1,0
72,175,1,34000,34,12,2,1,0,45,1,0
63,120,0,5000,5,12,4,1,7,23,0,1
63,184,0,10000,10,12,8,3,3,35,0,1
68,150,1,0,0,11,2,7,1,21,0,1
64,150,0,27000,27,16,2,1,0,60,1,0
73,220,1,62000,62,14,8,1,2,44,1,1
67,220,0,15000,15,12,1,1,0,69,0,0
72,180,1,50000,50,16,5,6,1,38,1,1
68,158,0,0,0,12,3,1,0,55,0,0
77,255,1,41000,41,16,7,7,0,33,1,0
64,150,0,0,0,10,8,1,0,19,0,0
64,130,0,15000,15,14,4,1,3,25,0,1
63,146,0,25000,25,16,5,1,1,72,1,1
72,185,1,75000,75,17,8,5,4,39,1,1
68,180,1,27000,27,17,5,2,0,31,1,0
64,135,0,12000,12,12,8,1,7,26,0,1
70,168,1,40000,40,12,7,3,0,51,1,0
61,138,0,7500,7.5,14,8,1,0,78,0,0
65,115,0,25000,25,12,7,2,0,46,1,0
67,135,0,30000,30,14,8,6,7,31,1,1
65,150,0,21000,21,12,8,1,0,57,1,0
64,120,0,27000,27,14,5,1,0,26,1,0
73,165,1,45000,45,16,7,2,0,44,1,0
67,130,0,3000,3,15,1,1,1,65,0,1
65,170,0,25000,25,12,8,7,2,30,1,1
65,140,0,24000,24,12,1,7,1,41,1,1
67,145,0,32000,32,18,4,5,1,29,1,1
68,145,0,10000,10,17,7,2,1,30,0,1
70,150,0,0,0,12,5,1,0,57,0,0
60,100,0,11000,11,12,2,1,0,21,0,0
65,105,0,18700,18.7,13,5,6,0,32,1,0
62,120,0,20000,20,12,2,1,7,29,1,1
72,160,1,3500,3.5,10,4,7,0,18,0,0
67,206,1,13000,13,8,8,1,5,56,0,1
70,170,1,25000,25,12,1,1,0,65,1,0
70,183,1,21000,21,17,5,5,0,41,1,0
68,150,0,34000,34,17,5,5,2,49,1,1
66,115,0,5000,5,12,7,4,1,23,0,1
60,120,0,6000,6,12,1,1,0,65,0,0
71,195,1,17000,17,12,8,7,1,28,1,1
71,140,1,35000,35,12,1,2,0,32,1,0
73,180,1,4000,4,13,6,6,0,18,0,0
64,115,0,5000,5,16,8,6,1,22,0,1
68,150,0,14000,14,14,4,1,0,55,0,0
66,118,0,10000,10,12,8,1,0,57,0,0
69,155,1,25000,25,16,2,6,4,29,1,1
63,126,0,0,0,8,1,1,0,63,0,0
70,130,1,87000,87,18,1,1,0,60,1,0
63,130,0,16000,16,14,4,6,0,27,0,0
66,123,0,0,0,13,8,3,1,30,0,1
66,110,0,15000,15,12,5,2,2,33,0,1
64,200,0,0,0,12,4,1,3,26,0,1
62,130,1,16000,16,14,1,1,0,28,0,0
66,190,0,25000,25,18,8,2,0,67,1,0
64,116,0,16500,16.5,14,8,7,5,43,1,1
68,170,1,15000,15,12,3,7,0,73,0,0
64,190,0,4000,4,9,2,1,0,68,0,0
67,342,0,3840,3.84,9,5,1,0,52,0,0
60,90,0,5000,5,6,1,1,0,78,0,0
71,200,1,22000,22,12,1,6,0,39,1,0
60,135,0,200,0.2,16,8,1,3,53,0,1
66,140,0,26000,26,16,2,5,3,27,1,1
66,120,0,2500,2.5,15,1,1,2,21,0,1
65,125,0,17000,17,14,1,1,0,39,1,0
63,112,0,25000,25,16,4,5,0,35,1,0
70,130,0,8000,8,13,8,7,1,22,0,1
68,215,1,25000,25,12,1,3,0,31,1,0
65,98,0,0,0,13,7,1,0,63,0,0
66,138,0,12000,12,13,4,1,0,68,0,0
62,123,0,10000,10,12,8,6,0,47,0,0
60,105,0,5000,5,8,7,1,0,77,0,0
76,220,1,100000,100,16,3,6,0,51,1,0
66,140,0,10000,10,15,8,1,2,67,0,1
64,173,0,0,0,14,4,1,0,38,0,0
72,185,1,15000,15,12,8,2,0,39,0,0
66,190,0,45000,45,12,8,6,0,43,1,0
69,190,1,15000,15,11,4,4,0,73,0,0
67,115,0,2400,2.4,8,8,4,1,39,0,1
68,150,1,30000,30,12,4,6,2,32,1,1
70,150,1,30000,30,12,5,6,1,33,1,1
62,125,0,10000,10,12,6,4,5,38,0,1
63,137,0,5000,5,13,7,2,0,26,0,0
66,125,0,12000,12,13,1,1,5,63,0,1
70,80,0,20000,20,10,2,1,0,61,1,0
68,160,0,20000,20,12,3,1,1,36,1,1
70,160,1,20000,20,14,8,7,0,23,1,0
65,125,0,25000,25,18,8,7,1,57,1,1
68,110,0,5000,5,8,1,4,0,82,0,0
66,133,0,0,0,12,3,1,4,59,0,1
71,180,1,25000,25,18,8,1,0,76,1,0
66,135,0,1200,1.2,12,7,7,2,20,0,1
62,130,0,5000,5,12,6,4,0,69,0,0
68,120,0,700,0.7,16,4,5,0,32,0,0
70,150,1,20000,20,16,1,4,0,27,1,0
61,110,0,10000,10,12,8,6,0,22,0,0
63,128,0,30000,30,12,7,7,0,73,1,0
72,185,1,25000,25,8,8,1,0,63,1,0
64,200,0,40000,40,14,8,7,0,56,1,0
67,155,1,25000,25,12,8,7,0,89,1,0
66,135,0,45000,45,18,5,2,0,65,1,0
61,130,0,10000,10,17,7,1,0,79,0,0
69,132,0,60000,60,18,8,1,0,63,1,0
62,103,0,45000,45,12,8,1,0,56,1,0
64,150,0,0,0,12,4,7,3,21,0,1
68,130,0,18000,18,12,7,1,0,66,1,0
60,128,0,15000,15,12,4,5,5,74,0,1
71,155,1,50000,50,18,8,3,1,42,1,1
64,155,0,16040,16.04,12,8,1,3,33,1,1
67,140,0,15000,15,14,8,1,7,30,0,1
69,160,1,10000,10,17,1,7,2,23,0,1
67,185,0,33000,33,13,2,1,0,43,1,0
68,130,0,18000,18,12,7,7,0,30,1,0
63,105,0,15000,15,12,7,1,7,37,0,1
71,145,1,21000,21,12,4,7,0,22,1,0
64,124,0,21000,21,17,3,1,0,43,1,0
68,170,1,37000,37,11,4,4,2,37,1,1
68,126,0,38000,38,17,7,6,2,44,1,1
66,142,0,17000,17,14,4,4,0,43,1,0
66,130,0,0,0,12,4,3,2,29,0,1
66,130,0,0,0,16,8,2,0,32,0,0
60,100,0,15000,15,16,1,1,1,91,0,1
77,210,1,32000,32,16,1,7,1,30,1,1
67,160,0,27500,27.5,12,4,1,0,58,1,0
66,140,1,15000,15,12,8,1,0,76,0,0
62,120,0,16500,16.5,12,8,1,3,44,1,1
64,118,0,0,0,17,8,6,5,30,0,1
72,175,0,0,0,12,7,1,2,51,0,1
67,150,0,25000,25,18,7,5,1,35,1,1
61,116,0,27000,27,18,4,7,2,43,1,1
64,220,0,5000,5,12,5,1,7,28,0,1
62,125,0,70000,70,16,8,1,0,38,1,0
63,150,0,5000,5,12,4,5,2,40,0,1
68,135,1,5000,5,16,1,4,1,24,0,1
69,158,1,62000,62,18,4,1,1,30,1,1
64,160,0,15000,15,12,8,1,0,59,0,0
64,158,0,20000,20,15,8,4,0,26,1,0
72,185,1,4000,4,15,4,5,2,21,0,1
72,172,1,75000,75,12,7,6,0,39,1,0
64,130,0,60000,60,16,5,1,2,35,1,1
61,150,0,5000,5,13,8,1,7,31,0,1
74,230,1,30000,30,12,7,4,3,38,1,1
70,165,1,70000,70,14,5,4,2,35,1,1
64,115,0,5000,5,16,8,1,0,60,0,0
71,195,1,50000,50,16,8,4,0,41,1,0
63,120,0,44000,44,12,8,6,0,39,1,0
73,215,1,40000,40,18,4,4,0,40,1,0
64,133,0,30000,30,14,4,7,2,43,1,1
73,200,1,15000,15,14,8,7,2,24,0,1
63,150,0,35000,35,15,6,1,0,31,1,0
62,130,0,0,0,16,5,1,6,32,0,1
62,140,0,10000,10,16,3,1,7,40,0,1
70,170,0,23000,23,17,6,3,5,42,1,1
62,115,0,0,0,12,1,1,7,39,0,1
71,175,1,45000,45,17,6,1,0,62,1,0
71,170,1,15000,15,14,8,6,0,31,0,0
70,169,0,4000,4,14,8,1,0,71,0,0
67,160,1,17000,17,14,1,6,0,31,1,0
64,130,0,30000,30,12,6,4,3,32,1,1
67,112,0,27500,27.5,12,3,3,1,30,1,1
62,140,0,5688,5.688,8,6,1,3,69,0,1
62,137,0,18000,18,13,6,1,0,56,1,0
67,170,1,35000,35,14,6,7,3,36,1,1
66,160,0,45000,45,17,8,1,0,32,1,0
68,185,1,43000,43,13,7,1,7,44,1,1
62,140,0,32000,32,14,6,2,1,44,1,1
