"","draft","year","ideology","state"
"1",0,1950,3,"CO"
"2",0,1950,2,"CO"
"3",0,1950,1,"CO"
"4",0,1950,3,"CO"
"5",0,1950,3,"CO"
"6",0,1950,2,"CO"
"7",0,1950,1,"CO"
"8",0,1950,1,"CO"
"9",0,1950,3,"CO"
"10",0,1950,2,"CO"
"11",0,1950,2,"CO"
"12",0,1950,2,"CO"
"13",0,1950,5,"CO"
"14",0,1950,2,"CO"
"15",0,1950,3,"CO"
"16",0,1950,3,"CO"
"17",0,1950,2,"CO"
"18",0,1950,1,"CO"
"19",0,1950,2,"CO"
"20",0,1950,3,"CO"
"21",0,1950,3,"CO"
"22",0,1950,2,"CO"
"23",0,1950,1,"CO"
"24",0,1950,4,"CO"
"25",0,1950,3,"CO"
"26",0,1950,3,"CO"
"27",0,1950,2,"CO"
"28",0,1950,1,"CO"
"29",0,1950,3,"CO"
"30",0,1950,4,"CO"
"31",0,1950,1,"CO"
"32",0,1950,5,"CO"
"33",0,1950,3,"CO"
"34",0,1950,1,"CO"
"35",0,1950,4,"CO"
"36",0,1950,3,"CO"
"37",0,1950,3,"CO"
"38",0,1950,4,"CO"
"39",0,1950,2,"CO"
"40",0,1950,4,"CO"
"41",0,1950,3,"CO"
"42",0,1950,2,"CO"
"43",0,1950,4,"CO"
"44",0,1950,4,"CO"
"45",0,1950,5,"CO"
"46",0,1950,3,"CO"
"47",0,1950,3,"CO"
"48",0,1950,2,"CO"
"49",0,1950,2,"CO"
"50",0,1950,4,"CO"
"51",0,1951,4,"CO"
"52",0,1951,3,"CO"
"53",0,1951,4,"CO"
"54",0,1951,3,"CO"
"55",0,1951,1,"CO"
"56",0,1951,3,"CO"
"57",0,1951,3,"CO"
"58",0,1951,2,"CO"
"59",0,1951,2,"CO"
"60",0,1951,4,"CO"
"61",0,1951,2,"CO"
"62",0,1951,3,"CO"
"63",0,1951,1,"CO"
"64",0,1951,3,"CO"
"65",0,1951,4,"CO"
"66",0,1951,4,"CO"
"67",0,1951,3,"CO"
"68",0,1951,3,"CO"
"69",0,1951,4,"CO"
"70",0,1951,5,"CO"
"71",0,1951,3,"CO"
"72",0,1951,3,"CO"
"73",0,1951,2,"CO"
"74",0,1951,2,"CO"
"75",0,1951,2,"CO"
"76",0,1951,3,"CO"
"77",0,1951,4,"CO"
"78",0,1951,2,"CO"
"79",0,1951,3,"CO"
"80",0,1951,5,"CO"
"81",0,1951,4,"CO"
"82",0,1951,3,"CO"
"83",0,1951,4,"CO"
"84",0,1951,3,"CO"
"85",0,1951,3,"CO"
"86",0,1951,5,"CO"
"87",0,1951,3,"CO"
"88",0,1951,2,"CO"
"89",0,1951,4,"CO"
"90",0,1951,3,"CO"
"91",0,1951,4,"CO"
"92",0,1951,3,"CO"
"93",0,1951,2,"CO"
"94",0,1951,5,"CO"
"95",0,1951,2,"CO"
"96",0,1952,3,"CO"
"97",0,1952,1,"CO"
"98",0,1952,2,"CO"
"99",0,1952,4,"CO"
"100",0,1952,2,"CO"
"101",0,1952,4,"CO"
"102",0,1952,4,"CO"
"103",0,1952,3,"CO"
"104",0,1952,4,"CO"
"105",0,1952,3,"CO"
"106",0,1952,3,"CO"
"107",0,1952,4,"CO"
"108",0,1952,4,"CO"
"109",0,1952,4,"CO"
"110",0,1952,2,"CO"
"111",0,1952,3,"CO"
"112",0,1952,2,"CO"
"113",0,1952,2,"CO"
"114",0,1952,3,"CO"
"115",0,1952,1,"CO"
"116",0,1952,3,"CO"
"117",0,1952,2,"CO"
"118",0,1952,4,"CO"
"119",0,1952,5,"CO"
"120",0,1952,3,"CO"
"121",0,1952,3,"CO"
"122",0,1952,2,"CO"
"123",0,1952,4,"CO"
"124",0,1952,2,"CO"
"125",0,1952,2,"CO"
"126",0,1952,2,"CO"
"127",0,1952,2,"CO"
